   3.9269908e-02   1.0001928e+00
   7.8539816e-02   1.0007715e+00
   1.1780972e-01   1.0017370e+00
   1.5707963e-01   1.0030910e+00
   1.9634954e-01   1.0048356e+00
   2.3561945e-01   1.0069738e+00
   2.7488936e-01   1.0095091e+00
   3.1415927e-01   1.0124457e+00
   3.5342917e-01   1.0157885e+00
   3.9269908e-01   1.0195432e+00
   4.3196899e-01   1.0237162e+00
   4.7123890e-01   1.0283144e+00
   5.1050881e-01   1.0333458e+00
   5.4977871e-01   1.0388193e+00
   5.8904862e-01   1.0447443e+00
   6.2831853e-01   1.0511314e+00
   6.6758844e-01   1.0579920e+00
   7.0685835e-01   1.0653385e+00
   7.4612826e-01   1.0731845e+00
   7.8539816e-01   1.0815446e+00
   8.2466807e-01   1.0904344e+00
   8.6393798e-01   1.0998711e+00
   9.0320789e-01   1.1098731e+00
   9.4247780e-01   1.1204601e+00
   9.8174770e-01   1.1316534e+00
   1.0210176e+00   1.1434761e+00
   1.0602875e+00   1.1559528e+00
   1.0995574e+00   1.1691103e+00
   1.1388273e+00   1.1829772e+00
   1.1780972e+00   1.1975843e+00
   1.2173672e+00   1.2129651e+00
   1.2566371e+00   1.2291555e+00
   1.2959070e+00   1.2461941e+00
   1.3351769e+00   1.2641229e+00
   1.3744468e+00   1.2829872e+00
   1.4137167e+00   1.3028357e+00
   1.4529866e+00   1.3237217e+00
   1.4922565e+00   1.3457025e+00
   1.5315264e+00   1.3688406e+00
   1.5707963e+00   1.3932039e+00
   1.6100662e+00   1.4188663e+00
   1.6493361e+00   1.4459085e+00
   1.6886061e+00   1.4744185e+00
   1.7278760e+00   1.5044929e+00
   1.7671459e+00   1.5362375e+00
   1.8064158e+00   1.5697687e+00
   1.8456857e+00   1.6052147e+00
   1.8849556e+00   1.6427172e+00
   1.9242255e+00   1.6824332e+00
   1.9634954e+00   1.7245369e+00
