# packing v1
# box 5.00000000000000028e-02 5.00000000000000028e-02 5.00000000000000028e-02
# periodicity 1 1 1
ellipsoid 1 centre 3 2.84967798739671728e-02 2.91982271824963412e-02 1.30628463113680489e-02 angles 3 -8.77657214943863395e-01 2.74647918187862716e+00 3.10054361708287241e+00 radii 3 9.17917080900668494e-03 9.77535054427130720e-03 1.48118085302539684e-02
ellipsoid 2 centre 3 1.87103506410494468e-02 9.40862565767019987e-03 2.37356950761750361e-02 angles 3 2.86969142718080716e+00 -2.13575180127307668e-01 1.83383830253491875e+00 radii 3 8.95343993124056090e-03 9.41738831013486100e-03 1.16973010654275768e-02
ellipsoid 3 centre 3 4.21595797990448815e-02 7.54850525408983300e-03 4.22852290794253349e-02 angles 3 -1.18152777856335889e+00 2.37580420764984312e+00 1.47034307881798654e+00 radii 3 4.92431187165318952e-03 5.05575075316795543e-03 6.64493877489118808e-03
ellipsoid 4 centre 3 2.21011272515170276e-02 3.65579216275364188e-02 2.74243554915301509e-02 angles 3 2.47914820467370101e+00 2.69148045231277067e+00 2.16896030132980311e-01 radii 3 4.78678978532540243e-03 5.01875843012785424e-03 6.47567148602866838e-03
ellipsoid 5 centre 3 2.49867927515879280e-02 1.87369252438657000e-02 3.68801262462511645e-02 angles 3 1.33175988401409651e+00 1.23179162258548169e+00 2.18444853563523056e+00 radii 3 4.95834940292281135e-03 4.96844591219935093e-03 5.92547146810557326e-03
ellipsoid 6 centre 3 6.70305022504180757e-04 3.39482033159583824e-03 1.29574793390929699e-03 angles 3 -2.07167597799511105e+00 9.93948684580785780e-01 1.32942141186233842e+00 radii 3 4.16537266717951007e-03 5.80153227683718326e-03 5.85702576547070166e-03
ellipsoid 7 centre 3 3.72829420492053060e-02 3.60462233074940741e-02 -1.07904236065223952e-03 angles 3 4.15937844594441497e-01 -2.26098086637984874e+00 2.22454738303345767e+00 radii 3 4.89145354662530538e-03 5.21828522752907156e-03 5.22192460279362943e-03
ellipsoid 8 centre 3 1.62828650791198033e-03 2.55291123059578247e-02 5.34090377623215335e-03 angles 3 -3.30791974640945730e-01 3.05801478536585458e+00 8.46730913673558128e-01 radii 3 3.51981933667004383e-03 5.35287739476565834e-03 6.13998004945950828e-03
ellipsoid 9 centre 3 1.60189808229915798e-02 4.33130840188823696e-02 -3.50843956694006642e-03 angles 3 -6.02942678480744454e-01 -7.92303488688865465e-01 5.64722525285788035e-01 radii 3 3.16071628329786915e-03 5.84052749421345649e-03 6.11985047104384155e-03
ellipsoid 10 centre 3 1.32663509808480743e-02 3.61691706581041203e-02 2.16236521373502910e-02 angles 3 2.93176354170136266e-01 5.21855260255759346e-01 7.36038457908486654e-01 radii 3 4.45534733259723200e-03 4.51244092034607490e-03 5.35086362988695854e-03
ellipsoid 11 centre 3 2.08513037767261294e-02 4.15419030468910965e-04 6.98564464692026394e-03 angles 3 -2.88798707739722538e+00 2.65207071878752565e+00 8.57975645118344232e-01 radii 3 3.58204085804242995e-03 4.91470861132789136e-03 5.11017432087975711e-03
ellipsoid 12 centre 3 -4.01503976900130510e-03 -1.44066696520894766e-04 1.48916484089568271e-02 angles 3 -2.82564607414157509e-01 2.89195915653677549e+00 4.36206122306201927e-02 radii 3 4.09550605261946050e-03 4.60950436205662291e-03 4.64300942690794392e-03
ellipsoid 13 centre 3 3.38983869529329226e-02 3.28426646417938201e-02 3.88793876394629492e-02 angles 3 2.89990236965018067e+00 6.75506268467782195e-02 2.84563585926289564e+00 radii 3 4.17412698696279904e-03 4.18933799144391959e-03 4.64934967586677714e-03
ellipsoid 14 centre 3 3.18931936402805163e-02 4.16774503188207801e-02 6.21677520684897969e-03 angles 3 -7.96961073534615982e-01 4.46034397746489231e-01 2.48856945669367946e-01 radii 3 3.90960835841182731e-03 4.02455069636341398e-03 4.74245262178759567e-03
ellipsoid 15 centre 3 2.74152345140464618e-02 8.75833905301988229e-03 6.32648719474673306e-03 angles 3 6.47698761182786575e-01 -3.03380343195700342e-01 1.69006352018260708e+00 radii 3 4.18781479026742419e-03 4.19244027059610062e-03 4.22399213629107758e-03
ellipsoid 16 centre 3 4.33836297597736155e-03 3.91785337124019861e-02 2.13087517884559957e-02 angles 3 -7.84085473578693404e-01 3.04296683372887022e+00 1.83909831069684904e+00 radii 3 4.00292730191821513e-03 4.01144172379741624e-03 4.40301622626495647e-03
ellipsoid 17 centre 3 4.36589235905557871e-02 2.11529652471654124e-02 2.74460209533572211e-02 angles 3 -2.30691755762942696e+00 -1.43700589677399582e+00 2.06824624773705734e+00 radii 3 3.13538213599244683e-03 3.74675316040829582e-03 5.85536782558786131e-03
ellipsoid 18 centre 3 3.85875466163270175e-02 -3.43922814354300638e-03 2.79069518786855056e-02 angles 3 -2.01579704871705928e-01 -2.82521294743476359e+00 1.94569704676051791e+00 radii 3 3.08095655472133065e-03 4.08133247448052953e-03 4.83494077452808948e-03
ellipsoid 19 centre 3 1.90698619233444361e-02 2.38111957442015409e-02 2.42032462963834433e-02 angles 3 -7.79467464421660372e-01 3.13026223562540062e+00 1.34975422452358718e+00 radii 3 3.27128821201701919e-03 4.21851593107223834e-03 4.27342934158444956e-03
ellipsoid 20 centre 3 1.52905610972084108e-02 2.18165280879475190e-02 3.69784769718535244e-02 angles 3 -2.02813101331081302e+00 -6.45544918101408127e-01 1.90479812982402308e+00 radii 3 3.75123755295279741e-03 3.82221660580222547e-03 3.95669902959356386e-03
ellipsoid 21 centre 3 -1.48319348227232695e-03 -1.22466447064652900e-03 3.50295094889588668e-02 angles 3 -1.61063732325195397e+00 3.10569632051927380e+00 7.33590539292397370e-01 radii 3 3.56299918972879113e-03 3.61704410317741998e-03 4.34979219208535967e-03
ellipsoid 22 centre 3 -2.46455387677997628e-03 1.68943537515588126e-02 2.12936628144234433e-02 angles 3 1.66516344424430196e+00 2.30287343081101747e+00 2.98789731400443426e+00 radii 3 2.74242811169232150e-03 3.65302374444462490e-03 5.33166649893645518e-03
ellipsoid 23 centre 3 -3.00459971185773611e-04 3.57724534696899354e-02 3.22742093238048283e-02 angles 3 -2.80008850038515655e+00 -2.62159257806844614e+00 3.13470645396655678e+00 radii 3 3.40893674320563852e-03 3.73868413340491335e-03 3.87182158367911644e-03
ellipsoid 24 centre 3 3.71830070507712662e-02 1.87024370883591487e-02 2.07864148542284992e-03 angles 3 -2.05160265467194192e+00 -5.86409425515865057e-01 1.58033151360695201e+00 radii 3 3.09249318742689386e-03 3.45225437213743597e-03 4.33701847950085026e-03
ellipsoid 25 centre 3 1.11053914530202750e-02 -2.37590509932487925e-03 2.96481737284921137e-02 angles 3 -1.25744118721183629e+00 4.08140836634119542e-01 1.09507885276040495e+00 radii 3 2.91722558494633428e-03 3.20382802478912923e-03 4.48590675454622716e-03
ellipsoid 26 centre 3 3.87685369001701530e-02 9.20221353881061147e-03 5.18077501328662038e-03 angles 3 1.19963696373394613e+00 9.23596175338305181e-01 1.37064639254593179e+00 radii 3 2.89650733529060126e-03 3.13426250884773399e-03 4.51844759152555345e-03
ellipsoid 27 centre 3 2.88880177540704608e-02 1.93255942780524506e-02 4.68867390532977935e-02 angles 3 -2.40607324597889782e+00 -6.23427024114867195e-02 1.56512138001697076e+00 radii 3 2.39345146526457730e-03 2.80196474015939872e-03 3.34169867756579312e-03
ellipsoid 28 centre 3 2.73282459704205401e-02 3.99614875204861164e-02 -1.21243213070556383e-03 angles 3 -1.11095956499948945e+00 4.78023019715561659e-01 2.24845188661231132e+00 radii 3 2.09680532745338101e-03 2.98180305872117061e-03 3.30928097273667631e-03
ellipsoid 29 centre 3 2.97326466417871423e-02 4.51525720185600235e-02 2.25484383292496211e-02 angles 3 -1.23206531513356854e+00 3.00431246177740219e+00 7.52075458864786217e-01 radii 3 2.12510821937000058e-03 2.90457529604313917e-03 3.18660904306073290e-03
ellipsoid 6 centre 3 6.70305022504180757e-04 3.39482033159583824e-03 5.12957479339092998e-02 angles 3 -2.07167597799511105e+00 9.93948684580785780e-01 1.32942141186233842e+00 radii 3 4.16537266717951007e-03 5.80153227683718326e-03 5.85702576547070166e-03
ellipsoid 6 centre 3 6.70305022504180757e-04 5.33948203315958436e-02 1.29574793390929699e-03 angles 3 -2.07167597799511105e+00 9.93948684580785780e-01 1.32942141186233842e+00 radii 3 4.16537266717951007e-03 5.80153227683718326e-03 5.85702576547070166e-03
ellipsoid 6 centre 3 6.70305022504180757e-04 5.33948203315958436e-02 5.12957479339092998e-02 angles 3 -2.07167597799511105e+00 9.93948684580785780e-01 1.32942141186233842e+00 radii 3 4.16537266717951007e-03 5.80153227683718326e-03 5.85702576547070166e-03
ellipsoid 6 centre 3 5.06703050225041848e-02 3.39482033159583824e-03 1.29574793390929699e-03 angles 3 -2.07167597799511105e+00 9.93948684580785780e-01 1.32942141186233842e+00 radii 3 4.16537266717951007e-03 5.80153227683718326e-03 5.85702576547070166e-03
ellipsoid 6 centre 3 5.06703050225041848e-02 3.39482033159583824e-03 5.12957479339092998e-02 angles 3 -2.07167597799511105e+00 9.93948684580785780e-01 1.32942141186233842e+00 radii 3 4.16537266717951007e-03 5.80153227683718326e-03 5.85702576547070166e-03
ellipsoid 6 centre 3 5.06703050225041848e-02 5.33948203315958436e-02 1.29574793390929699e-03 angles 3 -2.07167597799511105e+00 9.93948684580785780e-01 1.32942141186233842e+00 radii 3 4.16537266717951007e-03 5.80153227683718326e-03 5.85702576547070166e-03
